,Area,Dec_price,Nov_price
0,浦东,50731,50585
1,杨浦,62175,61521
2,徐汇,72779,72644
3,静安,67151,68082
4,虹口,59993,59709
5,黄浦,85805,86739
6,长宁,69405,69416
